,name,link,mark,episode or len,type,genre,comments,year
0,Стальной алхимик: Братство,https://shikimori.one/animes/z5114-fullmetal-alchemist-brotherhood,9.18,64,TV Сериал,Экшен,3286 комментариев,С 5 апреля 2009 г. по 4 июля 2010 г.
1,Атака титанов 3. Часть 2,https://shikimori.one/animes/38524-shingeki-no-kyojin-season-3-part-2,9.11,10,TV Сериал,Экшен,3344 комментария,С 29 апреля 2019 г. по июль 2019 г.
2,Врата Штейна,https://shikimori.one/animes/z9253-steins-gate,9.11,24,TV Сериал,Триллер,4559 комментариев,С 6 апреля 2011 г. по 14 сентября 2011 г.
3,Гинтама 4,https://shikimori.one/animes/z28977-gintama,9.1,51,TV Сериал,Экшен,1160 комментариев,С 8 апреля 2015 г. по 30 марта 2016 г.
4,Охотник х Охотник (2011),https://shikimori.one/animes/z11061-hunter-x-hunter-2011,9.09,148,TV Сериал,Экшен,11285 комментариев,С 2 октября 2011 г. по 24 сентября 2014 г.
5,Легенда о героях Галактики,https://shikimori.one/animes/820-ginga-eiyuu-densetsu,9.07,110,OVA,Военное,2148 комментариев,
6,Гинтама 2,https://shikimori.one/animes/z9969-gintama,9.07,51,TV Сериал,Экшен,104 комментария,С 4 апреля 2011 г. по 26 марта 2012 г.
7,Гинтама 3,https://shikimori.one/animes/z15417-gintama-enchousen,9.04,13,TV Сериал,Экшен,82 комментария,С 4 октября 2012 г. по 28 марта 2013 г.
8,Атака титанов: Финал,https://shikimori.one/animes/40028-shingeki-no-kyojin-the-final-season,9.0,16,TV Сериал,Экшен,15594 комментария,
9,Мартовский лев 2,https://shikimori.one/animes/35180-3-gatsu-no-lion-2nd-season,8.99,22,TV Сериал,Драма,357 комментариев,С 14 октября 2017 г. по 31 марта 2018 г.
10,Форма голоса,https://shikimori.one/animes/y28851-koe-no-katachi,8.99,2 часа 10 мин.,Фильм,Драма,3024 комментария,
11,Гинтама 5,https://shikimori.one/animes/z34096-gintama,8.98,12,TV Сериал,Экшен,579 комментариев,С 9 января 2017 г. по 27 марта 2017 г.
12,Кланнад: Продолжение истории,https://shikimori.one/animes/z4181-clannad-after-story,8.96,24,TV Сериал,Повседневность,1685 комментариев,С 3 октября 2008 г. по 27 марта 2009 г.
13,Гинтама,https://shikimori.one/animes/z918-gintama,8.96,201,TV Сериал,Экшен,1886 комментариев,С 4 апреля 2006 г. по 25 марта 2010 г.
14,Корзинка фруктов: Финал,https://shikimori.one/animes/42938-fruits-basket-the-final,8.95,9 / 13,TV Сериал,Повседневность,219 комментариев,
15,Гинтама: Финальная арка — Ёродзуя навсегда!,https://shikimori.one/animes/z15335-gintama-movie-2-kanketsu-hen-yorozuya-yo-eien-nare,8.95,1 час 50 мин.,Фильм,Экшен,166 комментариев,
16,Твоё имя,https://shikimori.one/animes/32281-kimi-no-na-wa,8.95,1 час 46 мин.,Фильм,Романтика,3357 комментариев,
17,История финала 2,https://shikimori.one/animes/z35247-owarimonogatari-2nd-season,8.92,7,TV Сериал,Детектив,1035 комментариев,С 12 августа 2017 г. по 13 августа 2017 г.
18,Код Гиас: Восставший Лелуш 2,https://shikimori.one/animes/2904-code-geass-hangyaku-no-lelouch-r2,8.91,25,TV Сериал,Экшен,1369 комментариев,С 6 апреля 2008 г. по 28 сентября 2008 г.
19,Гинтама 8,https://shikimori.one/animes/37491-gintama-shirogane-no-tamashii-hen-kouhan-sen,8.87,14,TV Сериал,Экшен,331 комментарий,С 9 июля 2018 г. по 8 октября 2018 г.
20,Волейбол!! 3,https://shikimori.one/animes/z32935-haikyuu-karasuno-koukou-vs-shiratorizawa-gakuen-koukou,8.86,10,TV Сериал,Комедия,466 комментариев,С 8 октября 2016 г. по 10 декабря 2016 г.
21,Моб Психо 100 2,https://shikimori.one/animes/z37510-mob-psycho-100-ii,8.83,13,TV Сериал,Экшен,1142 комментария,С 7 января 2019 г. по апрель 2019 г.
22,Истории ран. Часть 3: Холодная кровь,https://shikimori.one/animes/z31758-kizumonogatari-iii-reiketsu-hen,8.82,1 час 23 мин.,Фильм,Экшен,620 комментариев,
23,Унесённые призраками,https://shikimori.one/animes/z199-sen-to-chihiro-no-kamikakushi,8.82,2 часа 5 мин.,Фильм,Приключения,673 комментария,
24,Гинтама 7,https://shikimori.one/animes/36838-gintama-shirogane-no-tamashii-hen,8.81,12,TV Сериал,Экшен,293 комментария,С 8 января 2018 г. по 26 марта 2018 г.
25,Ковбой Бибоп,https://shikimori.one/animes/1-cowboy-bebop,8.78,26,TV Сериал,Экшен,1092 комментария,С 3 апреля 1998 г. по 24 апреля 1999 г.
26,Гинтама: Финал,https://shikimori.one/animes/39486-gintama-the-final,8.8,1 час 44 мин.,Фильм,Экшен,184 комментария,
27,Судьба/Ночь схватки: Прикосновение небес 3,https://shikimori.one/animes/33050-fate-stay-night-movie-heaven-s-feel-iii-spring-song,8.78,2 часа 2 мин.,Фильм,Экшен,2659 комментариев,
28,Магическая битва,https://shikimori.one/animes/40748-jujutsu-kaisen-tv,8.78,24,TV Сериал,Экшен,8008 комментариев,
29,Цикл историй: Второй сезон,https://shikimori.one/animes/x17074-monogatari-series-second-season,8.78,26,TV Сериал,Детектив,1791 комментарий,С 7 июля 2013 г. по 29 декабря 2013 г.
30,"Клинок, рассекающий демонов: Бесконечный поезд",https://shikimori.one/animes/z40456-kimetsu-no-yaiba-movie-mugen-ressha-hen,8.78,1 час 57 мин.,Фильм,Экшен,1459 комментариев,
31,Сёва-Гэнроку: Двойное самоубийство по ракуго 2,https://shikimori.one/animes/33095-shouwa-genroku-rakugo-shinjuu-sukeroku-futatabi-hen,8.78,12,TV Сериал,Драма,200 комментариев,С 7 января 2017 г. по 25 марта 2017 г.
32,Монстр,https://shikimori.one/animes/19-monster,8.77,74,TV Сериал,Драма,2067 комментариев,С 7 апреля 2004 г. по 28 сентября 2005 г.
33,Мастер муси: Следующая глава 2,https://shikimori.one/animes/24701-mushishi-zoku-shou-2nd-season,8.76,10,TV Сериал,Приключения,100 комментариев,С 19 октября 2014 г. по 21 декабря 2014 г.
34,Первый шаг,https://shikimori.one/animes/263-hajime-no-ippo,8.74,75,TV Сериал,Комедия,397 комментариев,С 4 октября 2000 г. по 27 марта 2002 г.
35,Созданный в Бездне,https://shikimori.one/animes/z34599-made-in-abyss,8.74,13,TV Сериал,Фантастика,1953 комментария,С 7 июля 2017 г. по 29 сентября 2017 г.
36,Вайолет Эвергарден. Фильм,https://shikimori.one/animes/37987-violet-evergarden-movie,8.75,2 часа 20 мин.,Фильм,Повседневность,649 комментариев,
37,Бродяга Кэнсин: Воспоминания,https://shikimori.one/animes/z44-rurouni-kenshin-meiji-kenkaku-romantan-tsuioku-hen,8.73,4,OVA,Экшен,194 комментария,
38,Твоя апрельская ложь,https://shikimori.one/animes/z23273-shigatsu-wa-kimi-no-uso,8.73,22,TV Сериал,Драма,3431 комментарий,С 10 октября 2014 г. по 20 марта 2015 г.
39,Волейбол!! 2,https://shikimori.one/animes/z28891-haikyuu-second-season,8.72,25,TV Сериал,Комедия,422 комментария,С 4 октября 2015 г. по 27 марта 2016 г.
40,Созданный в Бездне: Рассвет глубокой души,https://shikimori.one/animes/z36862-made-in-abyss-movie-3-fukaki-tamashii-no-reimei,8.72,1 час 45 мин.,Фильм,Фантастика,605 комментариев,
41,Мастер муси: Следующая глава,https://shikimori.one/animes/21939-mushishi-zoku-shou,8.72,10,TV Сериал,Приключения,114 комментариев,С 5 апреля 2014 г. по 21 июня 2014 г.
42,Код Гиас: Восставший Лелуш,https://shikimori.one/animes/1575-code-geass-hangyaku-no-lelouch,8.71,25,TV Сериал,Экшен,2403 комментария,С 6 октября 2006 г. по 29 июля 2007 г.
43,Сага о Винланде,https://shikimori.one/animes/37521-vinland-saga,8.71,24,TV Сериал,Экшен,3196 комментариев,С 8 июля 2019 г. по 30 декабря 2019 г.
44,Принцесса Мононоке,https://shikimori.one/animes/164-mononoke-hime,8.71,2 часа 13 мин.,Фильм,Экшен,312 комментариев,
45,Крутой учитель Онидзука,https://shikimori.one/animes/245-great-teacher-onizuka,8.7,43,TV Сериал,Повседневность,771 комментарий,С 30 июня 1999 г. по 17 сентября 2000 г.
46,Госпожа Кагуя: в любви как на войне 2,https://shikimori.one/animes/40591-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,8.7,12,TV Сериал,Комедия,7335 комментариев,
47,Мастер муси,https://shikimori.one/animes/457-mushishi,8.69,26,TV Сериал,Приключения,501 комментарий,С 23 октября 2005 г. по 19 июня 2006 г.
48,Тетрадь дружбы Нацумэ 4,https://shikimori.one/animes/11665-natsume-yuujinchou-shi,8.67,13,TV Сериал,Повседневность,100 комментариев,С 3 января 2012 г. по 27 марта 2012 г.
49,Первый шаг: Новый вызов,https://shikimori.one/animes/5258-hajime-no-ippo-new-challenger,8.67,26,TV Сериал,Комедия,56 комментариев,С 7 января 2009 г. по июль 2009 г.
50,Ходячий замок,https://shikimori.one/animes/431-howl-no-ugoku-shiro,8.67,1 час 59 мин.,Фильм,Приключения,624 комментария,
51,Завтрашний Джо 2,https://shikimori.one/animes/2921-ashita-no-joe-2,8.66,47,TV Сериал,Экшен,149 комментариев,С 13 октября 1980 г. по 31 августа 1981 г.
52,"Гуррен-Лаганн, пронзающий небеса",https://shikimori.one/animes/z2001-tengen-toppa-gurren-lagann,8.66,27,TV Сериал,Экшен,2068 комментариев,С апрель 2007 г. по 30 сентября 2007 г.
53,Этот глупый свин не понимает мечту девочки-зайки. Фильм,https://shikimori.one/animes/z38329-seishun-buta-yarou-wa-yumemiru-shoujo-no-yume-wo-minai,8.66,1 час 30 мин.,Фильм,Сверхъестественное,796 комментариев,
54,Тетрадь дружбы Нацумэ 6,https://shikimori.one/animes/34591-natsume-yuujinchou-roku,8.65,11,TV Сериал,Повседневность,320 комментариев,С 12 апреля 2017 г. по 21 июня 2017 г.
55,Исчезновение Харухи Судзумии,https://shikimori.one/animes/7311-suzumiya-haruhi-no-shoushitsu,8.65,2 часа 42 мин.,Фильм,Комедия,686 комментариев,
56,Вайолет Эвергарден,https://shikimori.one/animes/33352-violet-evergarden,8.64,13,TV Сериал,Повседневность,3788 комментариев,С 11 января 2018 г. по 5 апреля 2018 г.
57,Волчьи дети Амэ и Юки,https://shikimori.one/animes/12355-ookami-kodomo-no-ame-to-yuki,8.63,1 час 57 мин.,Фильм,Фэнтези,299 комментариев,
58,Пинг-понг,https://shikimori.one/animes/z22135-ping-pong-the-animation,8.63,11,TV Сериал,Драма,444 комментария,С 11 апреля 2014 г. по 20 июня 2014 г.
59,Атака титанов 3,https://shikimori.one/animes/35760-shingeki-no-kyojin-season-3,8.63,12,TV Сериал,Экшен,4370 комментариев,С 23 июля 2018 г. по 15 октября 2018 г.
60,"Для тебя, Бессмертный",https://shikimori.one/animes/41025-fumetsu-no-anata-e,8.63,8 / 20,TV Сериал,Приключения,926 комментариев,
61,Тетрадь смерти,https://shikimori.one/animes/z1535-death-note,8.63,37,TV Сериал,Детектив,3518 комментариев,С 4 октября 2006 г. по 27 июня 2007 г.
62,Мастер муси: Следующая глава — Капли колокольчиков,https://shikimori.one/animes/28957-mushishi-zoku-shou-suzu-no-shizuku,8.63,47 мин.,Фильм,Приключения,68 комментариев,
63,Истории ран. Часть 2: Горячая кровь,https://shikimori.one/animes/z31757-kizumonogatari-ii-nekketsu-hen,8.61,1 час 4 мин.,Фильм,Экшен,344 комментария,
64,Обещанный Неверленд,https://shikimori.one/animes/z37779-yakusoku-no-neverland,8.61,12,TV Сериал,Фантастика,1958 комментариев,С 10 января 2019 г. по 29 марта 2019 г.
65,Сёва-Гэнроку: Двойное самоубийство по ракуго,https://shikimori.one/animes/28735-shouwa-genroku-rakugo-shinjuu,8.6,13,TV Сериал,Драма,573 комментария,С 9 января 2016 г. по 2 апреля 2016 г.
66,Сказ о четырёх с половиной татами,https://shikimori.one/animes/7785-yojouhan-shinwa-taikei,8.6,11,TV Сериал,Детектив,306 комментариев,С 23 апреля 2010 г. по 2 июля 2010 г.
67,Re:Zero. Жизнь с нуля в альтернативном мире 2. Часть 2,https://shikimori.one/animes/42203-re-zero-kara-hajimeru-isekai-seikatsu-2nd-season-part-2,8.59,12,TV Сериал,Драма,4869 комментариев,
68,Судьба/Ночь схватки: Прикосновение небес 2,https://shikimori.one/animes/z33049-fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly,8.59,1 час 57 мин.,Фильм,Экшен,752 комментария,
69,Судьба/Начало 2,https://shikimori.one/animes/z11741-fate-zero-2nd-season,8.59,12,TV Сериал,Экшен,882 комментария,С 8 апреля 2012 г. по 24 июня 2012 г.
70,Первый шаг: Восхождение,https://shikimori.one/animes/19647-hajime-no-ippo-rising,8.59,25,TV Сериал,Комедия,137 комментариев,С 6 октября 2013 г. по 29 марта 2014 г.
71,Невероятное приключение ДжоДжо: Золотой ветер,https://shikimori.one/animes/37991-jojo-no-kimyou-na-bouken-part-5-ougon-no-kaze,8.59,39,TV Сериал,Экшен,5441 комментарий,С 6 октября 2018 г. по 28 июля 2019 г.
72,"Клинок, рассекающий демонов",https://shikimori.one/animes/z38000-kimetsu-no-yaiba,8.59,26,TV Сериал,Экшен,5249 комментариев,С 6 апреля 2019 г. по 28 сентября 2019 г.
73,Тетрадь дружбы Нацумэ 5,https://shikimori.one/animes/32983-natsume-yuujinchou-go,8.59,11,TV Сериал,Повседневность,227 комментариев,С 5 октября 2016 г. по 21 декабря 2016 г.
74,Я хочу съесть твою поджелудочную,https://shikimori.one/animes/z36098-kimi-no-suizou-wo-tabetai,8.59,1 час 48 мин.,Фильм,Повседневность,1170 комментариев,
75,Тетрадь дружбы Нацумэ 3,https://shikimori.one/animes/10379-natsume-yuujinchou-san,8.59,13,TV Сериал,Повседневность,78 комментариев,С 5 июля 2011 г. по 27 сентября 2011 г.
76,Бакуман 3,https://shikimori.one/animes/12365-bakuman-3rd-season,8.58,25,TV Сериал,Комедия,284 комментария,С 6 октября 2012 г. по 30 марта 2013 г.
77,"Мастер муси: Тень, поглотившая Солнце",https://shikimori.one/animes/21329-mushishi-hihamukage,8.57,45 мин.,Спешл,Приключения,44 комментария,
78,Гуррен-Лаганн: Звёздный свет,https://shikimori.one/animes/z4565-tengen-toppa-gurren-lagann-movie-2-lagann-hen,8.57,2 часа 5 мин.,Фильм,Экшен,47 комментариев,
79,Тетрадь дружбы Нацумэ 2,https://shikimori.one/animes/5300-zoku-natsume-yuujinchou,8.57,13,TV Сериал,Повседневность,74 комментария,С 6 января 2009 г. по 31 марта 2009 г.
80,Ванпанчмен,https://shikimori.one/animes/z30276-one-punch-man,8.56,12,TV Сериал,Экшен,3380 комментариев,С 5 октября 2015 г. по 21 декабря 2015 г.
81,"Дальше, чем космос",https://shikimori.one/animes/35839-sora-yori-mo-tooi-basho,8.56,13,TV Сериал,Приключения,324 комментария,С 2 января 2018 г. по 27 марта 2018 г.
82,Лагерь на свежем воздухе 2,https://shikimori.one/animes/38474-yuru-camp-season-2,8.56,13,TV Сериал,Повседневность,265 комментариев,
83,Ван-Пис,https://shikimori.one/animes/21-one-piece,8.55,977 / ?,TV Сериал,Экшен,11280 комментариев,
84,Граница пустоты 5: Спираль парадокса,https://shikimori.one/animes/4282-kara-no-kyoukai-5-mujun-rasen,8.56,1 час 54 мин.,Фильм,Экшен,112 комментариев,
85,Корзинка фруктов 2,https://shikimori.one/animes/40417-fruits-basket-2nd-season,8.55,25,TV Сериал,Повседневность,481 комментарий,
86,Волейбол!! К вершине 2,https://shikimori.one/animes/40776-haikyuu-to-the-top-2nd-season,8.55,12,TV Сериал,Комедия,497 комментариев,
87,Призрак в доспехах: Синдром одиночки 2,https://shikimori.one/animes/801-koukaku-kidoutai-stand-alone-complex-2nd-gig,8.54,26,TV Сериал,Экшен,82 комментария,С 2004 г. по 8 января 2005 г.
88,Класс убийц 2,https://shikimori.one/animes/z30654-ansatsu-kyoushitsu-2nd-season,8.53,25,TV Сериал,Экшен,465 комментариев,С 8 января 2016 г. по июль 2016 г.
89,Ария: Происхождение,https://shikimori.one/animes/3297-aria-the-origination,8.53,13,TV Сериал,Фантастика,77 комментариев,С 8 января 2008 г. по апрель 2008 г.
90,Гинтама 6,https://shikimori.one/animes/z35843-gintama-porori-hen,8.53,13,TV Сериал,Экшен,305 комментариев,С 2 октября 2017 г. по 25 декабря 2017 г.
91,Слэм-данк,https://shikimori.one/animes/z170-slam-dunk,8.53,101,TV Сериал,Комедия,99 комментариев,С 16 октября 1993 г. по 23 марта 1996 г.
92,Граффити Холо,https://shikimori.one/animes/44042-holo-no-graffiti,8.52,1 мин.,ONA,Комедия,231 комментарий,
93,Евангелион нового поколения: Конец Евангелиона,https://shikimori.one/animes/32-neon-genesis-evangelion-the-end-of-evangelion,8.52,1 час 27 мин.,Фильм,Фантастика,852 комментария,
94,Космические братья,https://shikimori.one/animes/12431-uchuu-kyoudai,8.52,99,TV Сериал,Комедия,166 комментариев,С апрель 2012 г. по 22 марта 2014 г.
95,Виви: Песнь флюоритового глаза,https://shikimori.one/animes/46095-vivy-fluorite-eye-s-song,8.52,11 / 13,TV Сериал,Экшен,1112 комментариев,
96,Гинтама: Сказание о Бэнидзакуре,https://shikimori.one/animes/z7472-gintama-movie-1-shinyaku-benizakura-hen,8.52,1 час 35 мин.,Фильм,Экшен,28 комментариев,
97,Волейбол!!,https://shikimori.one/animes/z20583-haikyuu,8.52,25,TV Сериал,Комедия,737 комментариев,С 6 апреля 2014 г. по 21 сентября 2014 г.
98,Могила светлячков,https://shikimori.one/animes/x578-hotaru-no-haka,8.51,1 час 28 мин.,Фильм,Драма,325 комментариев,
99,Гинтама: Полуфинал,https://shikimori.one/animes/44087-gintama-the-semi-final,8.51,2,Спешл,Экшен,66 комментариев,С 15 января 2021 г. по 20 января 2021 г.
100,Радуга: Семеро из шестой камеры второго блока,https://shikimori.one/animes/6114-rainbow-nisha-rokubou-no-shichinin,8.51,26,TV Сериал,Драма,754 комментария,С 7 апреля 2010 г. по 29 сентября 2010 г.
101,Врата Штейна 0,https://shikimori.one/animes/z30484-steins-gate-0,8.51,23,TV Сериал,Фантастика,6116 комментариев,С 12 апреля 2018 г. по 27 сентября 2018 г.
102,Яркая Тихая 3,https://shikimori.one/animes/z37379-chihayafuru-3,8.5,24,TV Сериал,Игры,325 комментариев,С 23 октября 2019 г. по 25 марта 2020 г.
103,Самурай Чамплу,https://shikimori.one/animes/205-samurai-champloo,8.5,26,TV Сериал,Экшен,789 комментариев,С 20 мая 2004 г. по 19 марта 2005 г.
104,Невероятное приключение ДжоДжо: Несокрушимый алмаз,https://shikimori.one/animes/31933-jojo-no-kimyou-na-bouken-part-4-diamond-wa-kudakenai,8.5,39,TV Сериал,Экшен,2021 комментарий,С 2 апреля 2016 г. по 24 декабря 2016 г.
105,Этот замечательный мир! Багровая легенда,https://shikimori.one/animes/z38040-kono-subarashii-sekai-ni-shukufuku-wo-kurenai-densetsu,8.5,1 час 30 мин.,Фильм,Приключения,827 комментариев,
106,Берсерк,https://shikimori.one/animes/33-kenpuu-denki-berserk,8.49,25,TV Сериал,Экшен,1168 комментариев,С 8 октября 1997 г. по апрель 1998 г.
107,Благословение небожителей: Спецвыпуск,https://shikimori.one/animes/44070-tian-guan-ci-fu-special,8.5,22 мин.,ONA,Исторический,57 комментариев,
108,Атака титанов,https://shikimori.one/animes/16498-shingeki-no-kyojin,8.49,25,TV Сериал,Экшен,9125 комментариев,С 7 апреля 2013 г. по 29 сентября 2013 г.
109,Врата Штейна: Зона загрузки дежавю,https://shikimori.one/animes/z11577-steins-gate-movie-fuka-ryouiki-no-dej-vu,8.49,1 час 30 мин.,Фильм,Фантастика,517 комментариев,
110,Банановая рыба,https://shikimori.one/animes/36649-banana-fish,8.49,24,TV Сериал,Экшен,3127 комментариев,С 6 июля 2018 г. по 21 декабря 2018 г.
